 Андипал таблетки 20 шт. ;от 86 ₽;ПФК Обновление;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 49 ₽;ПФК Обновление;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 20 шт. ;от 35 ₽;Усолье-Сибирский ХФЗ;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 20 шт. ;от 35 ₽;;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 35 ₽;Усолье-Сибирский ХФЗ;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 35 ₽;ООО Астрофарма;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 35 ₽;;megapteka.ru;https://megapteka.ru/perm/andipal
 Эдарби Кло таблетки, покрытые пленочной оболочкой 40 мг + 12,5 мг 28 шт. ;от 702.90 ₽;ООО Такеда Фармасьютикалс;megapteka.ru;https://megapteka.ru/perm/edarbi-klo-13
 Эдарби Кло таблетки, покрытые пленочной оболочкой 40 мг + 25 мг 28 шт. ;от 730 ₽;ООО Такеда Фармасьютикалс;megapteka.ru;https://megapteka.ru/perm/edarbi-klo-13
 Эдарби Кло таблетки, покрытые пленочной оболочкой 40 мг + 25 мг 98 шт. ;от 2464.70 ₽;;megapteka.ru;https://megapteka.ru/perm/edarbi-klo-13
 Эдарби Кло таблетки, покрытые пленочной оболочкой 40 мг + 12,5 мг 98 шт. ;от 2793.10 ₽;Такеда АйлэндЛимитед;megapteka.ru;https://megapteka.ru/perm/edarbi-klo-13
 Артра таблетки 120 шт. ;от 2007 ₽;Юнифарм ООО;megapteka.ru;https://megapteka.ru/perm/artra-132
 Артра МСМ таблетки 1690 мг 60 шт. ;от 1492 ₽;Игл Нутританалс Инк;megapteka.ru;https://megapteka.ru/perm/artra-132
 Артра таблетки 60 шт. ;от 1366 ₽;Юнифарм ООО;megapteka.ru;https://megapteka.ru/perm/artra-132
 Артра таблетки 30 шт. ;от 1128 ₽;Юнифарм ООО;megapteka.ru;https://megapteka.ru/perm/artra-132
 Артра МСМ Форте таблетки 60 шт. ;от 1128 ₽;Юнифарм ООО;megapteka.ru;https://megapteka.ru/perm/artra-132
 Артра таблетки 100 шт. ;от 1128 ₽;;megapteka.ru;https://megapteka.ru/perm/artra-132
 Хилак форте капли для приема внутрь флакон-капельница 100 мл 1 шт. ;от 499 ₽;TEVA;megapteka.ru;https://megapteka.ru/perm/hilak-forte-65
